"id","created_at","name","has_test","alternate_url"
"109910537","2024-11-02T06:09:39+0300","-",false,"https://hh.ru/vacancy/109910537"
"106972503","2024-11-05T13:24:01+0300","-",false,"https://hh.ru/vacancy/106972503"
"109120461","2024-11-07T07:54:44+0300","-",false,"https://hh.ru/vacancy/109120461"
"108363695","2024-11-07T14:09:20+0300","-",false,"https://hh.ru/vacancy/108363695"
"110591179","2024-11-11T06:31:21+0300","-",false,"https://hh.ru/vacancy/110591179"
"108134639","2024-11-11T09:52:08+0300","-",false,"https://hh.ru/vacancy/108134639"
"110626287","2024-11-11T12:39:04+0300","-",false,"https://hh.ru/vacancy/110626287"
"104380318","2024-11-12T08:07:00+0300","-",false,"https://hh.ru/vacancy/104380318"
"97030152","2024-11-12T11:47:30+0300","-",false,"https://hh.ru/vacancy/97030152"
"108853308","2024-11-12T12:08:04+0300","-",false,"https://hh.ru/vacancy/108853308"
"110803624","2024-11-12T16:14:11+0300","Middle",false,"https://hh.ru/vacancy/110803624"
"110875082","2024-11-13T12:53:29+0300","-",false,"https://hh.ru/vacancy/110875082"
"110886948","2024-11-13T14:53:42+0300","Middle",false,"https://hh.ru/vacancy/110886948"
"107258455","2024-11-14T10:15:24+0300","-",true,"https://hh.ru/vacancy/107258455"
"109639944","2024-11-14T15:10:53+0300","-",false,"https://hh.ru/vacancy/109639944"
"107108302","2024-11-14T15:31:47+0300","-",false,"https://hh.ru/vacancy/107108302"
"111039228","2024-11-15T11:49:03+0300","-",false,"https://hh.ru/vacancy/111039228"
"109464208","2024-11-15T13:39:12+0300","-",false,"https://hh.ru/vacancy/109464208"
"111069878","2024-11-15T16:05:28+0300","-",false,"https://hh.ru/vacancy/111069878"
"110323934","2024-11-16T14:35:00+0300","-",false,"https://hh.ru/vacancy/110323934"
